Measure,ZipCode,Ratio,TotalPopulation
Obesity among adults,77808,0.354,15217
Current asthma among adults,77830,0.096,2836
Visits to doctor for routine checkup within the past year among adults,77830,0.761,2836
Depression among adults,77830,0.225,2836
Housing insecurity in the past 12 months among adults,77830,0.102,2836
Feeling socially isolated among adults,77830,0.328,2836
Obesity among adults,77830,0.375,2836
Current asthma among adults,77831,0.102,3517
Visits to doctor for routine checkup within the past year among adults,77831,0.759,3517
Depression among adults,77831,0.232,3517
Housing insecurity in the past 12 months among adults,77831,0.126,3517
Feeling socially isolated among adults,77831,0.336,3517
Obesity among adults,77831,0.389,3517
Current asthma among adults,77833,0.099,29431
Visits to doctor for routine checkup within the past year among adults,77833,0.762,29431
Depression among adults,77833,0.222,29431
Housing insecurity in the past 12 months among adults,77833,0.13,29431
Feeling socially isolated among adults,77833,0.341,29431
Obesity among adults,77833,0.356,29431
Current asthma among adults,77835,0.094,2463
Visits to doctor for routine checkup within the past year among adults,77835,0.777,2463
Depression among adults,77835,0.215,2463
Housing insecurity in the past 12 months among adults,77835,0.089,2463
Feeling socially isolated among adults,77835,0.313,2463
Obesity among adults,77835,0.339,2463
Current asthma among adults,77836,0.099,11721
Visits to doctor for routine checkup within the past year among adults,77836,0.758,11721
Depression among adults,77836,0.225,11721
Housing insecurity in the past 12 months among adults,77836,0.137,11721
Feeling socially isolated among adults,77836,0.336,11721
Obesity among adults,77836,0.381,11721
Current asthma among adults,77837,0.105,1362
Visits to doctor for routine checkup within the past year among adults,77837,0.794,1362
Depression among adults,77837,0.202,1362
Housing insecurity in the past 12 months among adults,77837,0.16,1362
Feeling socially isolated among adults,77837,0.332,1362
Obesity among adults,77837,0.387,1362
Current asthma among adults,77840,0.108,55180
Visits to doctor for routine checkup within the past year among adults,77840,0.675,55180
Depression among adults,77840,0.289,55180
Housing insecurity in the past 12 months among adults,77840,0.191,55180
Feeling socially isolated among adults,77840,0.424,55180
Obesity among adults,77840,0.326,55180
Current asthma among adults,77843,0.102,8701
Visits to doctor for routine checkup within the past year among adults,77843,0.642,8701
Depression among adults,77843,0.295,8701
Housing insecurity in the past 12 months among adults,77843,0.171,8701
Feeling socially isolated among adults,77843,0.468,8701
Obesity among adults,77843,0.274,8701
Current asthma among adults,77845,0.094,70108
Visits to doctor for routine checkup within the past year among adults,77845,0.725,70108
Depression among adults,77845,0.242,70108
Housing insecurity in the past 12 months among adults,77845,0.107,70108
Feeling socially isolated among adults,77845,0.345,70108
Obesity among adults,77845,0.31,70108
Current asthma among adults,77853,0.109,1116
Visits to doctor for routine checkup within the past year among adults,77853,0.762,1116
Depression among adults,77853,0.228,1116
Housing insecurity in the past 12 months among adults,77853,0.17,1116
Feeling socially isolated among adults,77853,0.347,1116
Obesity among adults,77853,0.414,1116
Current asthma among adults,77855,0.093,159
Visits to doctor for routine checkup within the past year among adults,77855,0.823,159
Depression among adults,77855,0.205,159
Housing insecurity in the past 12 months among adults,77855,0.074,159
Feeling socially isolated among adults,77855,0.286,159
Obesity among adults,77855,0.337,159
Current asthma among adults,77856,0.099,5170
Visits to doctor for routine checkup within the past year among adults,77856,0.757,5170
Depression among adults,77856,0.231,5170
Housing insecurity in the past 12 months among adults,77856,0.109,5170
Feeling socially isolated among adults,77856,0.325,5170
Obesity among adults,77856,0.342,5170
Current asthma among adults,77857,0.101,985
Visits to doctor for routine checkup within the past year among adults,77857,0.765,985
Depression among adults,77857,0.232,985
Housing insecurity in the past 12 months among adults,77857,0.111,985
Feeling socially isolated among adults,77857,0.32,985
Obesity among adults,77857,0.357,985
Current asthma among adults,77859,0.108,7131
Visits to doctor for routine checkup within the past year among adults,77859,0.758,7131
Depression among adults,77859,0.224,7131
Housing insecurity in the past 12 months among adults,77859,0.214,7131
Feeling socially isolated among adults,77859,0.352,7131
Obesity among adults,77859,0.417,7131
Current asthma among adults,77861,0.099,2850
Visits to doctor for routine checkup within the past year among adults,77861,0.757,2850
Depression among adults,77861,0.235,2850
Housing insecurity in the past 12 months among adults,77861,0.105,2850
Feeling socially isolated among adults,77861,0.329,2850
Obesity among adults,77861,0.379,2850
Current asthma among adults,77863,0.109,64
Visits to doctor for routine checkup within the past year among adults,77863,0.788,64
Depression among adults,77863,0.209,64
Housing insecurity in the past 12 months among adults,77863,0.158,64
Feeling socially isolated among adults,77863,0.344,64
Obesity among adults,77863,0.409,64
Current asthma among adults,77864,0.106,7243
Visits to doctor for routine checkup within the past year among adults,77864,0.747,7243
Depression among adults,77864,0.233,7243
Housing insecurity in the past 12 months among adults,77864,0.178,7243
Feeling socially isolated among adults,77864,0.352,7243
Obesity among adults,77864,0.405,7243
Current asthma among adults,77865,0.097,1571
Visits to doctor for routine checkup within the past year among adults,77865,0.767,1571
Depression among adults,77865,0.231,1571
Housing insecurity in the past 12 months among adults,77865,0.103,1571
Feeling socially isolated among adults,77865,0.319,1571
Obesity among adults,77865,0.346,1571
Current asthma among adults,77867,0.095,109
Visits to doctor for routine checkup within the past year among adults,77867,0.785,109
Depression among adults,77867,0.187,109
Housing insecurity in the past 12 months among adults,77867,0.182,109
Feeling socially isolated among adults,77867,0.354,109
Obesity among adults,77867,0.379,109
Current asthma among adults,77868,0.102,16647
Visits to doctor for routine checkup within the past year among adults,77868,0.741,16647
Depression among adults,77868,0.222,16647
Housing insecurity in the past 12 months among adults,77868,0.211,16647
Feeling socially isolated among adults,77868,0.36,16647
Obesity among adults,77868,0.439,16647
Current asthma among adults,77871,0.1,3677
Visits to doctor for routine checkup within the past year among adults,77871,0.784,3677
Depression among adults,77871,0.228,3677
Housing insecurity in the past 12 months among adults,77871,0.103,3677
Feeling socially isolated among adults,77871,0.313,3677
Obesity among adults,77871,0.357,3677
Current asthma among adults,77872,0.1,1992
Visits to doctor for routine checkup within the past year among adults,77872,0.744,1992
Depression among adults,77872,0.243,1992
Housing insecurity in the past 12 months among adults,77872,0.121,1992
Feeling socially isolated among adults,77872,0.337,1992
Obesity among adults,77872,0.368,1992
Current asthma among adults,77873,0.099,1450
Visits to doctor for routine checkup within the past year among adults,77873,0.762,1450
Depression among adults,77873,0.23,1450
Housing insecurity in the past 12 months among adults,77873,0.115,1450
Feeling socially isolated among adults,77873,0.322,1450
Obesity among adults,77873,0.374,1450
Current asthma among adults,77875,0.107,63
Visits to doctor for routine checkup within the past year among adults,77875,0.737,63
Depression among adults,77875,0.258,63
Housing insecurity in the past 12 months among adults,77875,0.137,63
Feeling socially isolated among adults,77875,0.344,63
Obesity among adults,77875,0.393,63
Current asthma among adults,77878,0.104,602
Visits to doctor for routine checkup within the past year among adults,77878,0.766,602
Depression among adults,77878,0.224,602
Housing insecurity in the past 12 months among adults,77878,0.161,602
Feeling socially isolated among adults,77878,0.341,602
Obesity among adults,77878,0.392,602
Current asthma among adults,77879,0.103,4994
Visits to doctor for routine checkup within the past year among adults,77879,0.764,4994
Depression among adults,77879,0.227,4994
Housing insecurity in the past 12 months among adults,77879,0.137,4994
Feeling socially isolated among adults,77879,0.329,4994
Obesity among adults,77879,0.39,4994
Current asthma among adults,77880,0.099,1922
Visits to doctor for routine checkup within the past year among adults,77880,0.786,1922
Depression among adults,77880,0.203,1922
Housing insecurity in the past 12 months among adults,77880,0.132,1922
Feeling socially isolated among adults,77880,0.327,1922
Obesity among adults,77880,0.388,1922
Current asthma among adults,77901,0.103,40062
Visits to doctor for routine checkup within the past year among adults,77901,0.729,40062
Depression among adults,77901,0.234,40062
Housing insecurity in the past 12 months among adults,77901,0.231,40062
Feeling socially isolated among adults,77901,0.372,40062
Obesity among adults,77901,0.424,40062
Current asthma among adults,77904,0.096,29646
Visits to doctor for routine checkup within the past year among adults,77904,0.748,29646
Depression among adults,77904,0.229,29646
Housing insecurity in the past 12 months among adults,77904,0.134,29646
Feeling socially isolated among adults,77904,0.342,29646
Obesity among adults,77904,0.363,29646
Current asthma among adults,77905,0.101,15282
