Id,ZipCode,Longitude,Latitude
100394,19147,-75.151652,39.93971
100395,19138,-75.15592,40.04758
100396,19130,-75.16805,39.96362
100397,19154,-74.97531,40.0844
100398,19126,-75.14504,40.06638
100399,19149,-75.07475,40.03463
100400,19149,-75.0672,40.05048
100401,19120,-75.12127,40.02646
100402,19149,-75.05339,40.03626
100403,19115,-75.028661,40.088751
100404,19115,-75.05759,40.09575
100405,19127,-75.22435,40.02861
100406,19131,-75.23135,39.98549
100407,19137,-75.075852,39.999991
100408,19146,-75.169801,39.940461
100409,19142,-75.232702,39.93462
100410,19144,-75.1654,40.02439
100411,19111,-75.08057,40.0528
100412,19111,-75.07697,40.04914
100413,19141,-75.14642,40.02651
100414,19116,-75.02365,40.11414
100415,19149,-75.052211,40.036761
100416,19131,-75.23725,39.97319
100417,19106,-75.14999,39.94712
100418,19123,-75.157971,39.960601
100419,19143,-75.242971,39.95137
100420,19141,-75.14892,40.04673
100421,19144,-75.173332,40.01849
100422,19153,-75.23943,39.90674
100423,19152,-75.059962,40.05779
100424,19111,-75.084332,40.061
100425,19149,-75.067712,40.038311
100426,19132,-75.1606,39.99326
100427,19142,-75.231871,39.912561
100428,19151,-75.25478,39.9732
100429,19135,-75.037462,40.026551
100430,19142,-75.227662,39.919941
100431,19144,-75.17518,40.02835
100432,19144,-75.172182,40.03138
100433,19135,-75.05075,40.032452
100434,19124,-75.08503,40.01435
100435,19149,-75.074882,40.04209
100436,19153,-75.24316,39.91059
100437,19146,-75.19344,39.93638
100438,19120,-75.130081,40.038401
100439,19134,-75.11151,40.00276
100440,19131,-75.21499,39.9978
100441,19143,-75.228772,39.935931
100442,19120,-75.12334,40.03208
100443,19115,-75.0449786,40.0863893
100444,19148,-75.17061,39.9175
100445,19138,-75.1592555,40.0666615
100446,19143,-75.21999,39.92904
100447,19126,-75.139652,40.062051
100448,19143,-75.219362,39.936701
100449,19143,-75.2428376,39.9542782
100450,19140,-75.129782,40.014901
100451,19139,-75.24509,39.96273
100452,19145,-75.175072,39.924471
100453,19144,-75.16926,40.03224
100454,19121,-75.174992,39.982491
100455,19124,-75.084701,40.015651
100456,19140,-75.133512,40.006971
100457,19151,-75.265971,39.977531
100458,19142,-75.245896,39.916706
100459,19139,-75.2262,39.95993
100460,19130,-75.16173,39.96838
